Seller,Seller URL,Business Name,Business Address,Brand,Product Name,Price (USD),Number of Ratings,Customer Rating,product url,Best Sellers Rank,Category Rank,Search input,Total Results,ASIN,Selected Size,Selected Size ASIN,Date Scraped,Week Scraped,Package Dimensions,Item model number,Department
TSoles,https://www.amazon.com/sp?seller=A1K5H363XWWNV2,Stephen Paul Duemler,"826 e desert trumpet road, PHOENIX, AZ, 85048, US",,"Air Jordan 1 Mid Men's Shoes (DQ8426-067, Black/Summit White/Varsity Red) Size 13",,,,https://www.amazon.com/dp/B0DV7JQ137,"#660341 in Clothing, Shoes & Jewelry",#3475 in Men's Fashion Sneakers,Air Jordan sneakers,1000,B0DV7JQ137,,,28-01-2026,26-01-2026,,DQ8426-067,mens
All The Skus,https://www.amazon.com/sp?seller=A161TPFF1YFXLA,ATS Distribution,"29500 US-27 S, DUNDEE, FL, 33838, US",,"Air Jordan 1 Mid SE Men's Shoes (HV0789-010, Black/White/Metallic Gold/Metallic Silver) Size 13",,,,https://www.amazon.com/dp/B0DNNS66NQ,"#574044 in Clothing, Shoes & Jewelry",#2968 in Men's Fashion Sneakers,Air Jordan sneakers,1000,B0DNNS66NQ,,,28-01-2026,26-01-2026,,HV0789-010,mens
All The Skus,https://www.amazon.com/sp?seller=A161TPFF1YFXLA,ATS Distribution,"29500 US-27 S, DUNDEE, FL, 33838, US",Air Jordan 1 Low Men's Shoes (Black/White/Sail/Starfish),Air Jordan 1 Low Men's Shoes (Black/White/Sail/Starfish),,,4.3,https://www.amazon.com/dp/B0FHC3YB5X,"#205340 in Clothing, Shoes & Jewelry",#78 in Men's Basketball Shoes,Air Jordan sneakers,1000,B0FHC3YB5X,7,B0FHC3YB5X,28-01-2026,26-01-2026,,553558-081,mens
Bless your Heartz,https://www.amazon.com/sp?seller=A1CJ474UQHDSKP,Sunshine Sportswear LLC,"8815 CONROY WINDERMERE RD # 133, #133, Orlando, Florida, 32835-3129, US",Nike,Nike Women's WMNS Air Jordan 1 Low Sneaker,,,4.3,https://www.amazon.com/Jordan-Womens-Shoes-DV0990-111-White-White/dp/B0C85S5Q2P/ref=sr_1_5?dib=eyJ2IjoiMSJ9.AAG3QOf9KO899qWu2kfJAz71d4P7IwNmBLKH2rm7Pctsv_mA_hEIphdPyEFNpoTN5VdfQosIgGg2ZNLqReHzSDpCG7qPaH8iSAaWKpmuVIz7XfGrCo3EVBMFVePEa-16IbEj1YTqeKOGyQvko4rKK1wpH0p1wQYESlJDFgQopd_VwRxDRvfUwz1rX3Tqpwt6kkgRE6Q9IZvlXspdKfIGRPUDkidtFt2Xgf6akfRJrXaiWwrB_MJ6U-5ysX0HTYstv-d4tWbdNf1YjE9i5WyIqkW2TSf9gstYm0WOYbqwob4.uZRHunJCcO5sUwnfZqKb1uoTdCZ8-QLziQIxX88Zzy8&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769597636&sr=8-5,"#209563 in Clothing, Shoes & Jewelry",#37 in Women's Basketball Shoes,Air Jordan sneakers,1000,B0C85S5Q2P,8,B0C85S5Q2P,28-01-2026,26-01-2026,,DV0990-111,womens
TSoles,https://www.amazon.com/sp?seller=A1K5H363XWWNV2,Stephen Paul Duemler,"826 e desert trumpet road, PHOENIX, AZ, 85048, US",JORDAN AIR JORDAN 12 RETRO WHITE AND UNIVERSITY BLUE,JORDAN AIR JORDAN 12 RETRO WHITE AND UNIVERSITY BLUE,,,4.8,https://www.amazon.com/dp/B0F9TX6ZHT,"#272086 in Clothing, Shoes & Jewelry",#112 in Men's Basketball Shoes,Air Jordan sneakers,1000,B0F9TX6ZHT,9,B0F9TX6ZHT,28-01-2026,26-01-2026,,CT8013 112,unisex-child
ContinentalVentures,https://www.amazon.com/sp?seller=A2855ZHAXWNNHM,WCS LLC,"2555 NW NICOLAI ST, 2555 NW NICOLAI ST, portland, OR, 97210, US",Nike,Nike Men's Air Jordan 1 Retro High OG Sneaker,,,4.6,https://www.amazon.com/Jordan-Retro-Shoes-Size-12-White-White/dp/B0CTMLDR1P/ref=sr_1_21?dib=eyJ2IjoiMSJ9.AAG3QOf9KO899qWu2kfJAz71d4P7IwNmBLKH2rm7Pctsv_mA_hEIphdPyEFNpoTN5VdfQosIgGg2ZNLqReHzSDpCG7qPaH8iSAaWKpmuVIz7XfGrCo3EVBMFVePEa-16IbEj1YTqeKOGyQvko4rKK1wpH0p1wQYESlJDFgQopd_VwRxDRvfUwz1rX3Tqpwt6kkgRE6Q9IZvlXspdKfIGRPUDkidtFt2Xgf6akfRJrXaiWwrB_MJ6U-5ysX0HTYstv-d4tWbdNf1YjE9i5WyIqkW2TSf9gstYm0WOYbqwob4.uZRHunJCcO5sUwnfZqKb1uoTdCZ8-QLziQIxX88Zzy8&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769597636&sr=8-21,"#111748 in Clothing, Shoes & Jewelry",#44 in Men's Basketball Shoes,Air Jordan sneakers,1000,B0CTMLDR1P,,,28-01-2026,26-01-2026,,,mens
"Quality Shop, LLC",https://www.amazon.com/sp?seller=A36SNRHNJD3Z6X,QUALITY SHOP LLC,"1360 UNION HILL RD, STE 10E, ALPHARETTA, GA, 30004, US",,Nike Mens Kd Trey 5 ViiiBasketball Shoes,,,,https://www.amazon.com/dp/B07SMT17SJ,"#289676 in Clothing, Shoes & Jewelry",#137 in Men's Basketball Shoes,Air Jordan sneakers,1000,B07SMT17SJ,9.5,B07SMT17SJ,28-01-2026,26-01-2026,,CK2090-003,mens
east fashion inc,https://www.amazon.com/sp?seller=A2MUST8Q0IX270,East Fashion USA INC,"1843 CENTRAL AVE, 168, ALBANY, NY, 12205, US",Women's Air Jordan 1 Mid SE White/Worn Blue-Sail-Gum Light Brown,Women's Air Jordan 1 Mid SE White/Worn Blue-Sail-Gum Light Brown,,,5,https://www.amazon.com/dp/B0FHJCQCL8,"#205216 in Clothing, Shoes & Jewelry",#1687 in Women's Fashion Sneakers,Air Jordan sneakers,1000,B0FHJCQCL8,6,B0FHJCQCL8,28-01-2026,26-01-2026,,HQ2005-100,Unisex Adults
All The Skus,https://www.amazon.com/sp?seller=A161TPFF1YFXLA,ATS Distribution,"29500 US-27 S, DUNDEE, FL, 33838, US",AIR JORDAN,Air Jordan 1 Kids Mid SE Shoes,,,4.5,https://www.amazon.com/Jordan-Shoes-FQ8088-002-Neutral-Smoke/dp/B0DH5ZTPKX/ref=sr_1_27?dib=eyJ2IjoiMSJ9.AAG3QOf9KO899qWu2kfJAz71d4P7IwNmBLKH2rm7Pctsv_mA_hEIphdPyEFNpoTN5VdfQosIgGg2ZNLqReHzSDpCG7qPaH8iSAaWKpmuVIz7XfGrCo3EVBMFVePEa-16IbEj1YTqeKOGyQvko4rKK1wpH0p1wQYESlJDFgQopd_VwRxDRvfUwz1rX3Tqpwt6kkgRE6Q9IZvlXspdKfIGRPUDkidtFt2Xgf6akfRJrXaiWwrB_MJ6U-5ysX0HTYstv-d4tWbdNf1YjE9i5WyIqkW2TSf9gstYm0WOYbqwob4.uZRHunJCcO5sUwnfZqKb1uoTdCZ8-QLziQIxX88Zzy8&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769597636&sr=8-27,#132735 in Sports & Outdoors,#26 in Sports Fan Sneakers,Air Jordan sneakers,1000,B0DH5ZTPKX,5.5 Big Kid,B0DH5ZTPKX,28-01-2026,26-01-2026,,,unisex-child
e_Lifestyle,https://www.amazon.com/sp?seller=A3U8RQLBZU4YC4,Chae Rhie,"67 GREAT POND RD, STE 350, SOUTH GLASTONBURY, CT, 06073, US",Air Jordan 1 Mid White/Black-Light Smoke Grey,Air Jordan 1 Mid White/Black-Light Smoke Grey,,,4.9,https://www.amazon.com/dp/B0FHC2HWTR,"#245128 in Clothing, Shoes & Jewelry",#1136 in Men's Fashion Sneakers,Air Jordan sneakers,1000,B0FHC2HWTR,9.5,B0FHC2HWTR,28-01-2026,26-01-2026,,DQ8426-101,mens
