platform,source_category,normalized_category,normalized_Brand,product_family,Product Name,product_title,Price (USD),clean_price_usd,price_valid,raw_condition,normalized_condition,Item model number,raw_sku,normalized_sku,Number of Ratings,Customer Rating,Seller,product url,ASIN,Selected Size,Department,demo_priority_flag,demo_priority_score,demo_eligible
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordan Youth Air 1 Retro High OG GS 575441 126 Light Smoke Grey - Size 7Y,Jordan Youth Air 1 Retro High OG GS 575441 126 Light Smoke Grey - Size 7Y,,,False,New,New,2000000000000,2000000000000,200000000000000,,,ShopSW,https://www.amazon.com/dp/B09BBP2MW1,B09BBP2MW1,,boys,0,0,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan 1,"Air Jordan 1 Mens Low ""Legend Blue"" Shoes","Air Jordan 1 Mens Low ""Legend Blue"" Shoes",,,False,New,New,9300000000000000,9300000000000000,9.3e+16,,4.7,Punit Punjabi,https://www.amazon.com/Jordan-Mens-White-Legend-FZ2138/dp/B0DMV6LJGF/ref=sr_1_92?dib=eyJ2IjoiMSJ9.hpTNhphA2tL6jb3gKsSuyoZc1_QBPsKVFRqT127K9pOJK8cc3dEvqrM3b26xUAsR2AuKRW-6q1QhmxbIL_JHMUMrpoIGPuA_EIHWUtYY4he9Mg_34KEUUhwGAgbKvmQVYkn1HtwRxnCPiU2jxwYB_lRaUHhm7dejdiYUT7xBOzKcXqbHBh0yWXOik16CcReC5upc459yos-EAeDJYHf23oTONCJcs_PBasY0Y-uZ4R2vpIitzf-ZWFU9RLHaYsZ78KGKVxU908cSLp_64GoJJwI81Tm9G29YXr7yjaAN9To.DunI4ZTXD57ffbshDDu9X_7vl4dqMSWmYkbmRrHin80&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769197459&sr=8-92&xpid=1s_YYW3qmJhf2,B0DMV6LJGF,,mens,1,10,False
amazon,Air Jordan sneakers,Sneakers,Nike,Air Jordan Sneakers,Nike Men's Low-top Sneakers,Nike Men's Low-top Sneakers,155.65,155.65,True,New,New,FD2335-103,FD2335-103,FD2335-103,,4.3,Phonograph,https://www.amazon.com/Nike-Mens-Jordan-Trainers-Green/dp/B0DV9GGQY7/ref=sr_1_17?dib=eyJ2IjoiMSJ9.lV5rIamrryZHhjQoeXa5NoOZcwSuOdpcLlbrpL0xGoPi4wDlNGzGJDIJk-tx1FjPn-ie_mt2uX9Ibr0Qt5aFEV06rJDwYzKJRhS-CNHRGll5xDU2bH00O4dkg0FXXsquAWC4ADCU1ITDE_mm_ZGJr50QyppD2rB7rMUzVNUapGgExeaYkGgTg_QZClrlYdNbCtzXPk5leLQjJubCK9R01YJby36wPQC9TmRj1scxkOP7oW09L9nLIqn-acV7aAmBSMNhMJ9DNhq2sNoaw1ifCNtWdFlcjfxRGisxpSQcmMU.36DZxmPrlin-s3oSvre-bvoY4LDQm5uoUTQwkmHRX4c&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769597670&sr=8-17,B0DV9GGQY7,9,mens,0,0,False
amazon,Jordan sneakers,Sneakers,Jordan,Jordan Sneakers,Jordan Youth Air 1 Retro High OG GS 575441 180 Electro Orange - Size 7Y,Jordan Youth Air 1 Retro High OG GS 575441 180 Electro Orange - Size 7Y,,,False,New,New,11810dfe-a164-42d5-8315-46a6673f8b1d,11810dfe-a164-42d5-8315-46a6673f8b1d,11810DFE-A164-42D5-8315-46A6673F8B1D,,5,Stadium Goods,https://www.amazon.com/Nike-Youth-Jordan-Electro-Orange/dp/B095LP3H6Z/ref=sr_1_164?dib=eyJ2IjoiMSJ9.zaTJpKh9dtf4rpxpkDvlbjn0vRP38TAVk1XtW-njzCC9LonM6UmPrM6RfAittP7EKLBdnDFouzL1eeqTKJQXwM8YMx61YWA_elW5Qx37zUlKHzo4CLRYEsrknpbiAhp21J5xC617lrK1zBexwPk0wWPiBXffyDsKN7seCwGs9JSaZRtP6JMx8pPBZSJ67YnrsdikgAaEWr9-r69g6hxaQ0HxnOsAhL6fV7Ak1-i5DlidSBTeB-yya5MFvi_WuRYOJLzeHJhlHgS3_pwdLyIZiAoqNnEU2lA3U2piu0kcI8g.sDqJUmqpdTWO9D0sbxADiASWWhrpw3DERiE6eckkLXM&dib_tag=se&keywords=Jordan+sneakers&qid=1769598887&sr=8-164&xpid=7IryzEdmOwZYj,B095LP3H6Z,,unisex-child,0,0,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordan Mens Sneaker,Jordan Mens Sneaker,,,False,New,New,136027-500,136027-500,136027-500,,4.6,Stadium Goods,https://www.amazon.com/dp/B0BR84MKBN,B0BR84MKBN,8,unisex-adult,0,0,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordan Mens Sneaker,Jordan Mens Sneaker,,,False,New,New,136027-500,136027-500,136027-500,,4.6,Stadium Goods,https://www.amazon.com/dp/B09XPVG5NN,B09XPVG5NN,8,unisex-adult,0,0,False
amazon,Jordan sneakers,Sneakers,Jordan,Air Jordan 1,"Air Jordan 1 Mens Low ""Legend Blue"" Shoes","Air Jordan 1 Mens Low ""Legend Blue"" Shoes",,,False,New,New,20250519-45.48-nike-js-670-B0DMV7FNPS,20250519-45.48-nike-js-670-B0DMV7FNPS,20250519-4548-NIKE-JS-670-B0DMV7FNPS,,5,ChiKicks,https://www.amazon.com/Jordan-Mens-White-Legend-FZ2138/dp/B0DMV7FNPS/ref=sr_1_169?dib=eyJ2IjoiMSJ9.7zPqMkcOAJeBcCRSIi2nCF66F5ZrR0X2niwUSE8zbMXrqpAOelMwqdPOqk9tpDIvFO2O4CAQ69hxhQSXyIxrFqlcpatJVy_NijK6qU5ZjxZ1PINnefhxLXLhmsQV3rffcx6G2fiMriu1n0F0SBEr2fsU6gtkJKGiRhZQBlgq3u8fR9y2uyh9NVBeYNTidFAkTaj612b-XI76VAsmJFUQFZo7bkmTo1cepUdcB8Oar7besREPCd1JF5sWqbIpVh3VeCui2Z9YOJFZuiZWG-ppe0pEx7hoRtmCQqRQusA9-0w.IJVIkcKJ92oZoXaJBvt4VQdMwsZatDNBvusIDbQs_Yk&dib_tag=se&keywords=Jordan+sneakers&qid=1769198154&sr=8-169&xpid=nXjk8ayRGkN3X,B0DMV7FNPS,,mens,1,10,False
amazon,Air Jordan sneakers,Sneakers,Nike,Air Jordan Sneakers,Nike Manoadome Mens Hi Top Trainers 844358 Sneaker Shoes,Nike Manoadome Mens Hi Top Trainers 844358 Sneaker Shoes,118.59,118.59,True,New,New,844358-003,844358-003,844358-003,,4.4,4thOctober,https://www.amazon.com/dp/B01LX4NCQR,B01LX4NCQR,8,mens,0,0,False
amazon,Jordan sneakers,Sneakers,Jordan,Air Jordan 6,"Jordan 6 Rings Mens Shoes (322992-124, White/Midnight Navy/Neutral Grey)","Jordan 6 Rings Mens Shoes (322992-124, White/Midnight Navy/Neutral Grey)",,,False,New,New,322992-124,322992-124,322992-124,,4.4,KSAS Enterprises,https://www.amazon.com/Jordan-322992-124-Midnight-Neutral-Footwear/dp/B0F41JYQ5Q/ref=sr_1_299?dib=eyJ2IjoiMSJ9.1rFBfyZGVLd02aXSR6vXOZuo6QtEl4fhGR9T7bmcwbvw-wWEa0a-Zw92UBDQKgEz90KgTxTk4TUon64tzP0wWmiVAIzfN4i8GDEEe4kLN41UmkWauLrBkPlVLA5k-NqG9hqCBKl7dyIVilr0PV_hMKPjgYbXvrhREop7SGKWwwVd2bnRdlk7hPPzIfNRBeMneyQGwhMbV4tRrwwS4ndQIV5v8wnum1GnOmMQNOVYdAtQrslz_On1JUSUEIM5sZpkutCLMVhjAlmCyD_8RK_F5Q.wUR-5_8vcCqUz0kDa8U0L16aUe5h7jwCTvk6BvnJYE8&dib_tag=se&keywords=Jordan+sneakers&qid=1769598935&sr=8-299&xpid=7IryzEdmOwZYj,B0F41JYQ5Q,9,,1,10,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan 6,Jordan 6 Rings (White/Black-Varsity Red),Jordan 6 Rings (White/Black-Varsity Red),,,False,New,New,322992-164,322992-164,322992-164,,4.3,Stadium Goods,https://www.amazon.com/dp/B0DTRTXWC9,B0DTRTXWC9,9,mens,1,10,False
