Search Term,Total result for the search,Product Name,Price (USD),Location of Product,Condition of Product,Total Items Sold (Product),Product URL,Seller Name,Total Items Sold (Seller),Number of Reviews (seller),Positive Review Percentage % (seller),Seller Followers,Seller URL,Date Scraped,Week Scraped
Nike sneakers,1800000,Nike Air Force 1 Low Triple Black CW2288-001 Men's or GS Shoes NEW,71.25,Chesterland,New with box,46.0,https://www.ebay.com/itm/326864694569,516kicks,51000.0,12030.0,99.7,17000.0,https://www.ebay.com/str/shop516,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Max 2017 Mens Sneakers Running Shoes White Pure Platinum 849559 100,150.99,Verdun,New with box,13.0,https://www.ebay.com/itm/365977101019,grailsmtl,14000.0,2725.0,99.6,2200.0,https://www.ebay.com/str/grailsmtl,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Jordan 1 Low OG Medium Olive HQ6998-200 Mens Shoes NEW IN HAND,159.99,Chesterland,New with box,32.0,https://www.ebay.com/itm/326939365906,516kicks,51000.0,12030.0,99.7,17000.0,https://www.ebay.com/str/shop516,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Diamond Turf Emerald Men's IB2240-001 New,124.97,Albany,New with box,45.0,https://www.ebay.com/itm/157315226520,Trending Sneakerz,9900.0,2792.0,99.7,2500.0,https://www.ebay.com/str/trendingwear1,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Force 1 '07 Shoes White Malachite Green FJ4146-121 Men's Sizes NEW,100.0,Fort Myers,New with box,50.0,https://www.ebay.com/itm/157501535901,Shoe Conceptions,103000.0,22624.0,100,18000.0,https://www.ebay.com/str/shoeconceptions,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Force 1 '07 White CW2288-111,100.0,Plano,New with box,696.0,https://www.ebay.com/itm/204274447782,swaxbox,140000.0,30254.0,100,30000.0,https://www.ebay.com/str/swaxbox,2026-01-11,2026-01-05
Nike sneakers,1800000,"Nike Mind 001 Slide Light Bone, Solar Red, Light Grey Brand New Multiple Sizes",200.0,Las Vegas,New with box,2.0,https://www.ebay.com/itm/198018870287,Cultural Commodities,1900.0,657.0,98.3,288.0,https://www.ebay.com/str/culturalcommodities,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Nike Ja 3 Zombie HV9923-700 Men Size,150.0,Westville,New with box,112.0,https://www.ebay.com/itm/205797295836,swaxbox,140000.0,30254.0,100,30000.0,https://www.ebay.com/str/swaxbox,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Shox R4 Black HQ1988-001 Mens Sizes New Running Black,99.99,Alexandria,New with box,5.0,https://www.ebay.com/itm/306648892186,SummerClouds72,4500.0,1615.0,99.9,243.0,https://www.ebay.com/str/summerclouds72,2026-01-11,2026-01-05
Nike sneakers,1800000,"Nike Air Jordan 1 Low SE Shoes ""Somos Eternos"" IM8120-464 Men's Sizes NEW",132.89,Fort Myers,New with box,53.0,https://www.ebay.com/itm/157402609819,Shoe Conceptions,103000.0,22624.0,100,18000.0,https://www.ebay.com/str/shoeconceptions,2026-01-11,2026-01-05
Nike sneakers,1800000,"Nike Air Force 1 '07 White Black Outline 8, 8.5, 9.5, 10 +(gift) protector",69.99,Miami,New without box,,https://www.ebay.com/itm/366109268703,yanz2766,4.0,1.0,66.7,,https://www.ebay.com/usr/yanz2766,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Jordan 1 High OG Black White 2.0 DZ5485-010 Mens Shoes NEW,83.99,Chesterland,New with box,126.0,https://www.ebay.com/itm/326861841510,516kicks,51000.0,12030.0,99.7,17000.0,https://www.ebay.com/str/shop516,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Force 1 Low '07 LV8 Vamps FJ4146-002 - Men Sizing - Brand NEW,124.99,Bailey,New with box,213.0,https://www.ebay.com/itm/267359425494,Soledout NC,4600.0,1514.0,99.9,886.0,https://www.ebay.com/str/soledoutnc,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Force 1 Low White '07 Mens White Sports Sneaker CW2288-111,118.75,Eugene,New with box,230.0,https://www.ebay.com/itm/127139032064,puresportsusa,13000.0,5169.0,99.9,1800.0,https://www.ebay.com/str/puresportsusa,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Jordan 1 Low SE Shoes Black Anthracite Tour Yellow IM6568-010 Men's NEW,118.65,Naples,New with box,37.0,https://www.ebay.com/itm/257250292933,Duck Walk Sneakers,87000.0,16979.0,100,13000.0,https://www.ebay.com/str/popsandus3,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Dunk Low Reverse Panda 2.0 IB4620-141 Men's Size New,109.24,Eugene,New with box,22.0,https://www.ebay.com/itm/267504875858,wise_sneakers,76000.0,15399.0,100,17000.0,https://www.ebay.com/str/wisesneakers1,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Max 2017 White Pure Platinum Silver Sneakers 849559-100 Mens Size,100.0,Pearl,New with box,29.0,https://www.ebay.com/itm/397066238807,SneakerSupplyLLC,88000.0,21497.0,99.3,11000.0,https://www.ebay.com/str/finntheosteals,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Jordan 3 Retro Family Affair Olive Green DN3707-202 Men's Shoes NEW,89.99,Chesterland,New with box,280.0,https://www.ebay.com/itm/326799260637,516kicks,51000.0,12030.0,99.7,17000.0,https://www.ebay.com/str/shop516,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Max Correlate Pure Platinum Obsidian Sneakers 511416-010 Mens Size,79.99,Pearl,New with box,12.0,https://www.ebay.com/itm/397354431980,SneakerSupplyLLC,88000.0,21497.0,99.3,11000.0,https://www.ebay.com/str/finntheosteals,2026-01-11,2026-01-05
Nike sneakers,1800000,Size 6.5y- Nike Air Jordan 4 Retro GS University Blue Men's Shoes - Ships Now,189.0,Dedham,Pre-owned - Good,,https://www.ebay.com/itm/226926503923,supersneaksanddresses,492.0,323.0,99.7,28.0,https://www.ebay.com/usr/supersneaksanddresses,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Max Alpha Trainer 5 DM0829 010 black/black Men's Shoes,87.85,Fullerton,New with box,472.0,https://www.ebay.com/itm/175830071804,allshoesforyou,120000.0,22833.0,99.8,2400.0,https://www.ebay.com/str/allshoesforyou,2026-01-11,2026-01-05
Nike sneakers,1800000,Brand New Nikes,200.0,Sanford,New without box,,https://www.ebay.com/itm/376781938434,t28349,,0.0,,,,2026-01-11,2026-01-05
Nike sneakers,1800000,NIKE DUNK LOW,300.0,Nashville,Pre-owned - Excellent,,https://www.ebay.com/itm/147077445181,jgalvez72,29.0,80.0,100,,https://www.ebay.com/usr/jgalvez72,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike Air Force 1 '07 LV8 Light Khaki Black Sneakers HQ2037-200 Mens Sizes NEW,89.97,Glenmoore,New with box,29.0,https://www.ebay.com/itm/317534010274,THE SNEAKER NEST,,1402.0,100,,https://www.ebay.com/str/thesneakernest,2026-01-11,2026-01-05
Nike sneakers,1800000,FQ0912-400 Nike Pegasus Trail 5 GORE-TEX Armory Navy Vintage Green (Women's),175.0,Los Angeles,New with box,,https://www.ebay.com/itm/205754200039,kjf5,,160.0,100,,https://www.ebay.com/usr/kjf5,2026-01-11,2026-01-05
Nike sneakers,1800000,Nike REVOLUTION 8 Men's Black Grey HJ9198-008 Basketball Sneakers Shoes,49.95,Bowling Green,New with box,5.0,https://www.ebay.com/itm/317591306811,shoes_bootz_and_more,76000.0,19388.0,99.5,7700.0,https://www.ebay.com/usr/shoes_bootz_and_more,2026-01-11,2026-01-05
