platform,source_category,Category,normalized_Brand,product_family,Product Name,product_title,Price (USD),Price (USD),price_valid,raw_condition,normalized_condition,raw_sku,Normalized SKU,Total Items Sold (Product),Location of Product,Seller Name,Product URL,Positive Review Percentage % (seller),Number of Reviews (seller),demo_priority_flag,demo_priority_score,demo_eligible,Brand,Product Name,Condition,Location
ebay,Nike sneakers,Sneakers,Jordan,Nike Sneakers,NEW SZ 10 Air Jordan Series Mid .03 Gold DA8026-017 Space Jam Bred Concord 1 3 4,NEW SZ 10 Air Jordan Series Mid .03 Gold DA8026-017 Space Jam Bred Concord 1 3 4,79.99,79.99,True,New with box,New,DA8026-017,DA8026-017,,Flossmoor,rockem_stockem_shoes,https://www.ebay.com/itm/297924320645,99.6,1062,0,0,False,Jordan,New Sz 10 Air Jordan Series Mid .03 Gold Da8026-017 Space Jam Bred Concord 1 3 4,New / Unworn,Flossmoor
ebay,Nike sneakers,Sneakers,Jordan,Jordan Spizike,Jordan Spizike Low Black Classic Green White Varsity Red Men's FQ1759-060 New,Jordan Spizike Low Black Classic Green White Varsity Red Men's FQ1759-060 New,89.97,89.97,True,New with box,New,FQ1759-060,FQ1759-060,7,Albany,Trending Sneakerz,https://www.ebay.com/itm/157459292481,99.7,2792,0,0.028,False,Jordan,Jordan Spizike Low Black Classic Green White Varsity Red Men'S Fq1759-060 New,New / Unworn,Albany
ebay,Nike sneakers,Sneakers,Jordan,Nike Sneakers,[DV3462-212] Mens Air Jordan ZION 2 'VOODOO',[DV3462-212] Mens Air Jordan ZION 2 'VOODOO',197.99,197.99,True,New with box,New,DV3462-212,DV3462-212,14,Paterson,sneakAR,https://www.ebay.com/itm/285564020639,99.8,209752,0,0.056,False,Jordan,[Dv3462-212] Mens Air Jordan Zion 2 'Voodoo',New / Unworn,Paterson
ebay,Nike sneakers,Sneakers,Jordan,Air Jordan 12,Air Jordan 12 Playoffs Retro 2022 Preto Branco Varsity Vermelho CT8013-006,Air Jordan 12 Playoffs Retro 2022 Preto Branco Varsity Vermelho CT8013-006,19990,19990,True,"Novo, sem caixa",New - No Box,CT8013-006,CT8013-006,,,Sneaker Jesus,https://www.ebay.com/itm/373971113505,100,16559,1,10,False,Jordan,Air Jordan 12 Playoffs Retro 2022 Preto Branco Varsity Vermelho Ct8013-006,New Without Box,
ebay,Nike sneakers,Sneakers,Jordan,Air Jordan 1,Tenis Feminino Air Jordan 1 Brooklyn Low Jordan Pequeno Aco Brattle HF3184-001,Tenis Feminino Air Jordan 1 Brooklyn Low Jordan Pequeno Aco Brattle HF3184-001,15000,15000,True,"Novo, com caixa",New,HF3184-001,HF3184-001,,,ALL IN Domain,https://www.ebay.com/itm/396919035422,99.4,1459,1,10,False,Jordan,Tenis Feminino Air Jordan 1 Brooklyn Low Jordan Pequeno Aco Brattle Hf3184-001,New / Unworn,
ebay,Nike sneakers,Sneakers,Jordan,Nike Sneakers,"Jordan Luka .77 PF ""Navidor"" Doncic Men's Basketball shoes HF0819-006 Black Size","Jordan Luka .77 PF ""Navidor"" Doncic Men's Basketball shoes HF0819-006 Black Size",102,102,True,New with box,New,HF0819-006,HF0819-006,13,HONG KONG,SOLE B1OCK,https://www.ebay.com/itm/376425961842,98.6,9408,0,0.052,False,Jordan,"Jordan Luka .77 Pf ""Navidor"" Doncic Men'S Basketball Shoes Hf0819-006 Black Size",New / Unworn,Hong Kong
ebay,Nike sneakers,Sneakers,Jordan,Nike Sneakers,Jordan Tatum 3 Basketball shoes Men's FZ6601-600,Jordan Tatum 3 Basketball shoes Men's FZ6601-600,11500,11500,True,New with box,New,FZ6601-600,FZ6601-600,,,SOLE B1OCK,https://www.ebay.com/itm/376382086318,98.6,9408,0,0,False,Jordan,Jordan Tatum 3 Basketball Shoes Men'S Fz6601-600,New / Unworn,
ebay,Nike sneakers,Sneakers,Jordan,Nike Sneakers,Air Jordan One Take 5 FD2335-160,Air Jordan One Take 5 FD2335-160,64.95,64.95,True,New with box,New,FD2335-160,FD2335-160,,,Superiordealz1,https://www.ebay.com/itm/365708990019,99.8,11562,0,0,False,Jordan,Air Jordan One Take 5 Fd2335-160,New / Unworn,
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordan Luka .77 PF 'BloodLine' Rugged Outdoor Basketball Shoe HF0819-101 Sz 11,Jordan Luka .77 PF 'BloodLine' Rugged Outdoor Basketball Shoe HF0819-101 Sz 11,119.98,119.98,True,New without box,New - No Box,HF0819-101,HF0819-101,,Katy,boombasket,https://www.ebay.com/itm/267529444953,100,239,0,0,False,Jordan,Jordan Luka .77 Pf 'Bloodline' Rugged Outdoor Basketball Shoe Hf0819-101 Sz 11,New Without Box,Katy
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Air Jordan 8 Retro Bugs Bunny 2025 305381-100 Men Size,Air Jordan 8 Retro Bugs Bunny 2025 305381-100 Men Size,215,215,True,New with box,New,305381-100,305381-100,109,Westville,swaxbox,https://www.ebay.com/itm/205879427911,100,30254,0,0.436,False,Jordan,Air Jordan 8 Retro Bugs Bunny 2025 305381-100 Men Size,New / Unworn,Westville
