seller,location,units_sold,product_listings,reviews,positive_pct
swaxbox,Westville,13380,179,31469,0.998
wise_sneakers,Eugene,2914,76,15875,1
Shoe Conceptions,Fort Myers,2878,92,22981,1
EVANS SNEAKERS,Cranston,2447,47,21415,1
Duck Walk Sneakers,Naples,2036,62,17210,1
Scubadivingminh Nike Shoe Shop,Seattle,1619,1,6585,0.997
Risen_+_Outfitters,Twinsburg,691,39,49216,1
puresportsusa,Eugene,518,33,5357,1
SneakZilla,Philadelphia,372,9,9467,0.996
rbf350,Cerritos,370,3,1181,0.994
Chamo33619,Tampa,183,5,2308,0.995
THE SNEAKER NEST,Glenmoore,164,13,1465,1
SoleEmpire,Magnolia,149,11,13964,1
newly_released,Elmwood Park,133,4,472,1
bobse17,Highland Park,99,1,69,1
KNZapparel,Anderson,77,15,4240,0.999
kodek1974,Wayne,76,5,6358,0.997
meet.your.solemates,Lake Oswego,71,19,2239,1
TigerlySale,Milford,62,3,6968,0.998
NICE FEET,Chino,60,3,8852,1
CHRISP_THREADS,Fishers,60,7,367,1
VipAuthentic Mall,San Juan,58,4,4,1
trendzbk,Brooklyn,56,4,1112,0.993
Lopeli Co Store,Clementon,53,2,3709,0.996
