platform,normalized_category,normalized_Brand,product_family,normalized_sku,raw_sku,product_title,clean_price_usd,normalized_condition,product_url,demo_priority_score,demo_eligible,platform_rank
ebay,Sneakers,Jordan,Air Jordan 1,553558-152,553558-152,Nike Air Jordan 1 Low Iron Grey 553558-152 Men's Size New,105.44,New,https://www.ebay.com/itm/267046956265,10.396,True,1
ebay,Sneakers,Jordan,Air Jordan 1,553558-166,553558-166,Nike Air Jordan 1 Low Shoes Summit White Varsity Red 553558-166 Men's Sizes NEW,103.31,New,https://www.ebay.com/itm/267342534532,10.164,True,1
ebay,Sneakers,Jordan,Air Jordan 1,HJ5999-400,HJ5999-400,Nike Air Jordan 1 Low SE Shoes Glacier Blue Sea Glass HJ5999-400 Men's Sizes NEW,98.4,New,https://www.ebay.com/itm/167500213198,10.14,True,1
ebay,Sneakers,Jordan,Air Jordan 1,553558-040,553558-040,Nike Air Jordan 1 Low Black White Grey Men's 553558-040 & GS 553560-040 New,89.97,New,https://www.ebay.com/itm/157490198579,10.112,True,1
ebay,Sneakers,Jordan,Air Jordan 1,553558-152,553558-152,NIKE AIR Jordan 1 Low Iron Grey Men's 553558-152 New Shoes,99.97,New,https://www.ebay.com/itm/156962034273,10.076,True,2
ebay,Sneakers,Jordan,Air Jordan 1,553558-147,553558-147,Nike Air Jordan 1 Low Shoes Rare Air Sail Blue Green Grey 553558-147 Men's NEW,84.62,New,https://www.ebay.com/itm/127368322879,10.072,True,1
ebay,Sneakers,Jordan,Air Jordan 1,553560-146,553560-146,Nike Air Jordan 1 Low White Grey Midnight Navy 553560-146 GS & Women's Size New,100.69,New,https://www.ebay.com/itm/267253028425,10.064,True,1
ebay,Sneakers,Jordan,Air Jordan 1,553558-166,553558-166,Nike Air Jordan 1 Low Shoe Varsity Red White New Beginnings 553558-166 Men's NEW,80.07,New,https://www.ebay.com/itm/127433569374,10.06,True,2
ebay,Sneakers,Jordan,Air Jordan 1,DQ8426-100,DQ8426-100,Nike Air Jordan 1 Mid White Black Rust Pink DQ8426-100 Men's Shoes NEW,84.99,New,https://www.ebay.com/itm/326861790639,10.06,True,1
ebay,Sneakers,Jordan,Air Jordan 1,HQ2010-012,HQ2010-012,HQ2010-012 Air Jordan 1 Low Light Smoke Grey Men`s,109.99,New,https://www.ebay.com/itm/136532760963,10.06,True,1
ebay,Sneakers,Jordan,Air Jordan 1,553558-147,553558-147,Nike Air Jordan 1 Low Rare Air 553558-147 Men's Size New,100.69,New,https://www.ebay.com/itm/267328097815,10.056,True,2
ebay,Sneakers,Jordan,Air Jordan 1,HF3148-011,HF3148-011,Nike Air Jordan 1 Low SE Medium Grey Cool Grey White HF3148-011 Mens Shoes New,114.99,New,https://www.ebay.com/itm/236223877268,10.056,True,1
ebay,Sneakers,Jordan,Air Jordan 1,DZ5485-402,DZ5485-402,Nike Air Jordan 1 Retro High OG Shoes UNC Reimagined DZ5485-402 Mens Size,125.54,New,https://www.ebay.com/itm/135837073398,10.052,True,1
ebay,Sneakers,Jordan,Air Jordan 1,HF3148-011,HF3148-011,Air Jordan 1 Low SE Men's Multi Size Medium Grey/Cool Grey-White HF3148-011,89.99,New - No Box,https://www.ebay.com/itm/187338455332,10.048,True,2
